venue,winner,wins
Barabati Stadium,Deccan Chargers,3
Brabourne Stadium,Mumbai Indians,6
Buffalo Park,Chennai Super Kings,1
De Beers Diamond Oval,Chennai Super Kings,1
Dr DY Patil Sports Academy,Mumbai Indians,5
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,3
Dubai International Cricket Stadium,Chennai Super Kings,2
Eden Gardens,Kolkata Knight Riders,37
Feroz Shah Kotla,Delhi Daredevils,23
Green Park,Gujarat Lions,2
Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,5
Holkar Cricket Stadium,Kings XI Punjab,3
JSCA International Stadium Complex,Chennai Super Kings,3
Kingsmead,Delhi Daredevils,3
M Chinnaswamy Stadium,Royal Challengers Bangalore,30
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,33
Maharashtra Cricket Association Stadium,Rising Pune Supergiant,5
Nehru Stadium,Kochi Tuskers Kerala,2
New Wanderers Stadium,Royal Challengers Bangalore,3
Newlands,Deccan Chargers,2
OUTsurance Oval,Delhi Daredevils,1
"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,4
"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,18
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,20
"Sardar Patel Stadium, Motera",Rajasthan Royals,7
Saurashtra Cricket Association Stadium,Gujarat Lions,3
Sawai Mansingh Stadium,Rajasthan Royals,24
Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,4
Sharjah Cricket Stadium,Kings XI Punjab,2
Sheikh Zayed Stadium,Rajasthan Royals,3
St George's Park,Chennai Super Kings,2
Subrata Roy Sahara Stadium,Pune Warriors,4
SuperSport Park,Chennai Super Kings,2
"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,2
Wankhede Stadium,Mumbai Indians,34
